title,description,annotation
"Arnold Schwarzenegger Endorses Kamala Harris, Despite Not Liking 'Either Party'",Arnold Schwarzenegger is breaking from his political party by endorsing Kamala Harris ahead of Election Day ... warning another Trump administration would be disastrous for the country. The actor and former politician posted a lengthy letter…,Celebrity
"Jennifer Lopez Endorses Kamala Harris for President, Blasts Trump","Kamala Harris trotted out another major celebrity endorsement on Thursday — and this time it was Jennifer Lopez, who blasted Donald Trump for throwing what many perceived as a racist rally at Madison Square Garden. The Democratic presidential…",Celebrity
Kamala Harris Directs Medics to Person in Crowd at Rally,"Kamala Harris says she's always looking out for her own ... putting her rally on pause to direct medics to someone who needs help -- and, saying that's what leadership's all about. The veep hosted a star-studded rally in Atlanta Saturday ... and,…",Campaign Activity
Joe Rogan Still Negotiating Possible Interview With Kamala Harris,"Joe Rogan may interview Kamala Harris after all ... but he'll only do it on his terms. The popular podcaster took to ""X' on Tuesday to give an update on his negotiations for a possible face-to-face with the Democratic presidential nominee. Joe…",Celebrity
TMZ TV Hot Take: Mel Gibson Goes After Kamala Harris' IQ,"Mel Gibson has made it clear he's not voting for Kamala Harris come November 5 ... the actor took shots at the Vice President's IQ, comparing it to ""a fence post."" The Oscar winner doled out his unfiltered opinion about the Presidential hopeful…",Celebrity
Cardi B Fires 'Up' Crowd at Kamala Harris Rally in Milwaukee,"Cardi B is doubling down on her endorsement of Kamala Harris ... speaking at the Democratic nominee's rally in Milwaukee, Wisconsin Friday evening. The rapper hit the podium to address the crowd at the campaign event ... which also featured…",Celebrity
Michelle Obama Blasts Donald Trump's 'Gross Incompetence' at Kamala Harris Rally,"Michelle Obama says Donald Trump's not competent enough to be president ... blasting the former prez for the mistakes she feels he made in his first term -- and, saying he straight-up tried to steal the job. The former First Lady of the United…",Trump
TMZ TV Hot Takes: Kelly Rowland Upstages Beyoncé at Kamala Harris Rally,"Kamala Harris brought out the big guns for a big rally in Texas ... but it was Kelly Rowland, and not Beyoncé, who stole the show ... at least that's the takeaway from our ""TMZ on TV"" crew. Kelly introduced Beyoncé, who introduced Kamala in…",Celebrity
Tina Knowles Lands in NYC After Taking 'Black Jobs' Dig at Kamala Harris Rally,"Tina Knowles wasn't in Houston for long ... flying back from her home state to New York City early Saturday -- hours after firing off about Donald Trump's ""Black jobs"" comment. Beyoncé's mom touched down at LaGuardia Airport Saturday morning…",Celebrity
Watch Beyoncé’s Speech At Kamala Harris Rally In Houston,"In August, rumors about Beyoncé performing at the DNC got out of hand. She didn’t wind up making an appearance, but on Friday (Oct. 25) she gave a speech at Kamala Harris’ rally in the superstar’s hometown of Houston, offering her endorsement.",Celebrity
Beyoncé and Kelly Rowland Support Kamala Harris at Houston Rally,Beyonce supported Kamala Harris at her campaign rally on Friday night.,Celebrity
"Don Omar Endorses Kamala Harris, Calls Trump ‘Truly Worrying’","""Trump has made it clear, time and again, what he thinks of us,"" the Puerto Rican artist writes, days after racist remarks about the country were made at a Trump rally in New York",Celebrity
This Baseball Cap Celebrates the Dodgers’ Win (and Maybe a Kamala Harris Win Too),"The 'KamaLA' hat combines the VP's name with the Dodgers logo, making for a great pickup whether you're cheering for the team, the presidential candidate, or both",Campaign Activity
Reese Witherspoon Votes for Kamala Harris: ‘Protect Democracy at All Costs’,"""Top of my mind, as I considered all candidates, is protecting women’s rights to medical privacy and reproductive choice,"" Witherspoon said", Celebrity
‘SNL’ Cold Open: The Real Kamala Harris Gives Herself a Pep Talk,"""You can do something your opponent cannot do. You can open doors,"" the VP tells Maya Rudolph",Campaign Activity
"Lady Gaga, Katy Perry, Oprah Winfrey Set for Kamala Harris’ Election Eve Pennsylvania Rallies","Gaga, the Roots, Winfrey, Jazmine Sullivan and more will take stage in Philadelphia, while Perry and Andra Day will appear along vice president at Pittsburgh rally on Monday night",Celebrity
‘For the Love of My Country’: Sarah Jessica Parker Endorses Kamala Harris and Tim Walz,"""For me, for love, for choice, and for a certain childless cat lady I play on TV with an abundance of joy, optimism and pride I am voting for Vice President Kamala Harris and Governor Tim Walz,"" actress wrote",Celebrity
